노선번호,총 배차간격
서대문12,11.14285714
서대문13,23.28571429
서대문14,10.28571429
서대문15,14
서울01,12.85714286
서울02,7.857142857
서울02,7.857142857
서초01,25
서초02,18.42857143
서초03,15.71428571
서초05,20
서초06,22.14285714
서초07,12
서초08,16.42857143
서초09,11.85714286
서초10,13.57142857
서초11,15.85714286
서초13,11.42857143
서초14,9.857142857
서초15,9
서초16,16.14285714
서초17,12.42857143
서초18,5.714285714
서초18,5.714285714
서초18-1,21.42857143
서초18-1,21.42857143
서초20,25
서초21,10.85714286
서초22,15
성동01,9
성동02,14
성동03-1,11
성동03-2,14.57142857
성동05,10.14285714
성동08,10.71428571
성동09,8
성동10,9.857142857
성동12,12.14285714
성동13,23
성동14,15
성동15,14
성북01,7.285714286
성북02,13
성북03,12
성북04,6.571428571
성북05,20
성북06,16.42857143
성북07,10.85714286
성북08,6.142857143
성북09,11
성북10,8.857142857
성북12,13
성북13,10.42857143
성북14-1,11.42857143
성북14-2,13
성북15,13.57142857
성북20,15
성북21,11.85714286
성북22,8.285714286
송파01,18.71428571
송파02,21.57142857
송파03,20
양천01,6.714285714
양천02,7.571428571
양천03,10.85714286
양천04,10.57142857
영등포01,7.714285714
영등포02,13.14285714
영등포03,12
영등포04,11
영등포05,15.42857143
영등포06,20
영등포07,16.14285714
영등포08,10.71428571
영등포09,13.14285714
영등포10,16.42857143
영등포11,15.71428571
영등포12,19.57142857
영등포13,16
용산01,13.85714286
용산02,8.428571429
용산03,11.57142857
용산04,8.571428571
은평01,15
은평02,19
은평03,8
은평04,20
은평05,9.857142857
은평06,16.57142857
은평07,13
은평08-1,18
은평08-2,18
은평09,11.28571429
은평10,20
종로01,15.28571429
종로02,12.28571429
종로03,9
종로05,11.85714286
종로07,15.42857143
종로08,7
종로09,10.85714286
종로11,10
종로12,9
종로13,15.85714286
중랑01,25
중랑01,25
중랑02,8.285714286
청와대A01(자율주행),15
